simulator,obstacles,agents,timestep,interval,rate,delay_type,map_seed,agent_seed,value,value_lower,value_upper,execution_time,first_agent_arriving,average_timestep_time,average_timestep_time_lower,average_timestep_time_upper
replan,270,20,1,20,0.2,agent,6,7,40.845000000000006,37.37257238058651,44.3174276194135,0.48135269999999997,7.3,0.06375503214285713,0.02316885629441775,0.10434120799129651
replan,270,20,1,20,0.2,agent,6,8,53.65,49.52811899812917,57.771881001870824,0.27106139999999995,3.0,0.0451769,0.003447894700453598,0.0869059052995464
replan,270,20,1,20,0.2,agent,6,9,47.395,43.685382202746545,51.10461779725346,1.8309630000000001,7.2,0.25659373015873016,0.137966959186193,0.3752205011312673
replan,270,20,1,20,0.2,agent,7,0,33.695,31.613456856469565,35.77654314353044,0.1897206,5.0,0.03794412,0.01637735548805784,0.059510884511942155
replan,270,20,1,20,0.2,agent,7,1,42.120000000000005,37.48800035504777,46.75199964495224,0.48063859999999997,4.0,0.13326466153846156,0.11484569527382031,0.15168362780310282
replan,270,20,1,20,0.2,agent,7,2,43.575,40.98314029317441,46.1668597068256,1.5673572,13.1,0.11842321344537816,0.10328971210293368,0.13355671478782266
replan,270,20,1,20,0.2,agent,7,3,56.665,52.59433738857104,60.73566261142896,1.8760710000000003,10.5,0.18438316666666668,0.15428403755940276,0.2144822957739306
replan,270,20,1,20,0.2,agent,7,4,41.550000000000004,35.40024162719525,47.69975837280476,0.07664035999999999,4.0,0.019160089999999998,0.016690542115851227,0.021629637884148768
replan,270,20,1,20,0.2,agent,7,5,48.05,38.96047786488526,57.13952213511473,0.4838799999999999,10.0,0.049917057658730155,0.03473259128172276,0.06510152403573755
replan,270,20,1,20,0.2,agent,7,6,56.475,53.2764821135826,59.6735178864174,0.6284607,17.4,0.03451340057822251,0.017910551350280593,0.05111624980616443
replan,270,20,1,20,0.2,agent,7,7,41.995000000000005,38.76159865497633,45.22840134502368,0.13552461,6.3,0.02173451833333333,0.017042360773060136,0.026426675893606526
replan,270,20,1,20,0.2,agent,7,8,48.845,45.76262005260436,51.927379947395636,1.1697764,11.6,0.10179467785547784,0.08471648105305121,0.11887287465790447
replan,270,20,1,20,0.2,agent,7,9,56.73333333333333,32.59295476263338,80.87371190403327,15.0533,17.0,0.8856674074074075,0.36156998931184703,1.4097648255029678
