simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,obstacles
online,10,1,30,0.2,agent,82.465,0.07157290385000001,heuristic,proposed,0.045008377753000005,7.333,6.675,14.796,71.909,7.126,0.8072827674436024,0.19271723255639756,0,0.006362785536938088,inf,inf,180.0
default,10,1,30,0.2,agent,89.096,0.000134533244,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.3,agent,97.173,0.0827019907,heuristic,proposed,0.048875458728,8.062,7.045,14.467,78.309,7.778,0.7524289127175782,0.2475710872824217,0,0.006281878510804474,inf,inf,180.0
default,10,1,30,0.3,agent,106.819,0.000143043763,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.1,agent,55.01428571428571,1.9098897516326532,heuristic,proposed,1.1957696752040816,5.294897959183674,5.294897959183674,43.1204081632653,104.68571428571428,5.631632653061224,0.7610504505133205,0.23894954948667954,0,0.2154688362868669,0.21182525656118678,0.2154688362868669,180.0
default,20,1,10,0.1,agent,56.22857142857143,0.00023759331224489796,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,10,0.2,agent,66.75714285714285,2.2420696726530616,heuristic,proposed,1.3021764979591839,5.73469387755102,5.73469387755102,41.83469387755102,111.98469387755102,6.655102040816327,0.6751717261298462,0.3248282738701537,0,0.2181917886469449,0.2097842619931472,0.2181917886469449,180.0
